"ID_user"|"gender"|"age"
"235981907"|"unknown"|"0"
"320819804"|"female"|"0"
"5806981424"|"female"|"25"
"119213087"|"male"|"30"
"131584427"|"male"|"24"
"141764891"|"female"|"26"
"62364692594"|"female"|"0"
"105429215"|"female"|"0"
"7144448492"|"female"|"0"
"12439540682"|"male"|"0"
"245396081"|"female"|"0"
"169816025"|"male"|"0"
"220462013"|"female"|"0"
"54210183734"|"unknown"|"0"
"280114430"|"female"|"0"
"20771504594"|"unknown"|"0"
"88383916286"|"unknown"|"0"
"242331413"|"unknown"|"0"
"164277335"|"male"|"29"
"87575506412"|"unknown"|"0"
"330449228"|"unknown"|"0"
"3920266220"|"unknown"|"0"
"14364566"|"male"|"29"
"255269168"|"unknown"|"0"
"75430100192"|"unknown"|"0"
"6997086128"|"female"|"0"
"64701483248"|"female"|"43"
"3837611"|"female"|"0"
"4057774808"|"female"|"0"
"85365643148"|"unknown"|"0"
"80371550654"|"unknown"|"0"
"89589315302"|"unknown"|"0"
"89589286028"|"unknown"|"0"
"34751304524"|"unknown"|"0"
"374162444"|"female"|"0"
"332145398"|"female"|"0"
"155198459"|"unknown"|"0"
"74890740272"|"unknown"|"0"
"40356574916"|"unknown"|"0"
"24642938"|"unknown"|"0"
"271327310"|"male"|"0"
"362231690"|"male"|"0"
"121744919"|"unknown"|"0"
"27117206"|"unknown"|"0"
"296347724"|"male"|"0"
"380199038"|"male"|"44"
"36212527796"|"female"|"0"
"58343437850"|"female"|"0"
"132520703"|"male"|"0"
"347650286"|"female"|"0"
"86095096862"|"unknown"|"0"
"194520575"|"unknown"|"0"
"85802654030"|"male"|"0"
"50960750054"|"unknown"|"0"
"358964318"|"female"|"0"
"449614334"|"female"|"61"
"175901573"|"unknown"|"0"
"62751782"|"female"|"34"
"12961531526"|"female"|"0"
"341325872"|"male"|"0"
"175097399"|"unknown"|"0"
"331100390"|"unknown"|"0"
"314945324"|"female"|"0"
"17268842"|"female"|"35"
"380517608"|"female"|"0"
"8378894"|"male"|"33"
"366626972"|"male"|"0"
"214786547"|"female"|"0"
"306197564"|"unknown"|"0"
"337875230"|"unknown"|"0"
"162678089"|"unknown"|"0"
"3834952190"|"female"|"0"
"340098086"|"male"|"0"
"256322786"|"male"|"66"
"313507208"|"female"|"0"
"389084558"|"female"|"24"
"2040106178"|"female"|"0"
"367773332"|"male"|"0"
"309538244"|"female"|"0"
"262844984"|"male"|"0"
"108379739"|"male"|"0"
"277839176"|"unknown"|"0"
"337046702"|"unknown"|"0"
"87933766298"|"unknown"|""
"323591240"|"unknown"|"0"
"39454330310"|"female"|"0"
"53765171210"|"unknown"|"0"
"87376633370"|"unknown"|"0"
"90420393092"|"unknown"|"0"
"39423242060"|"female"|"0"
"371156570"|"unknown"|"0"
"18474242"|"female"|"0"
"87608975"|"unknown"|"0"
"6961402352"|"male"|"0"
"87502900004"|"unknown"|"0"
"2563143506"|"male"|"15"
"46718960492"|"unknown"|"0"
"61814522"|"male"|"38"
