"ID_txn"|"ID_user"|"txn_time"|"ID_product"|"price"
"21000723509"|"9115418"|"2011-12-03 00:27:00"|"5135708"|"637"
"21000019037"|"34153790"|"2011-03-09 17:35:00"|"4652918"|"585"
"21001710962"|"77953229"|"2012-06-19 20:35:00"|"419738"|"24570"
"21002256746"|"271781180"|"2012-07-08 23:00:00"|"485048"|"1937"
"21002256746"|"271781180"|"2012-07-08 23:00:00"|"485048"|"1937"
"21002256746"|"271781180"|"2012-07-08 23:00:00"|"485048"|"1937"
"21002391590"|"257186000"|"2012-07-13 11:47:00"|"495590"|"1807"
"21000736961"|"24870734"|"2011-12-08 10:47:00"|"4648424"|"3107"
"21002079632"|"155083823"|"2012-06-30 00:21:00"|"479924"|"14443"
"21002079632"|"155083823"|"2012-06-30 00:21:00"|"479924"|"14443"
"21002079632"|"155083823"|"2012-06-30 00:21:00"|"479924"|"14443"
"21002079632"|"155083823"|"2012-06-30 00:21:00"|"479924"|"14443"
"21002336894"|"304562894"|"2012-07-11 19:05:00"|"495590"|"1807"
"21001710530"|"298530974"|"2012-06-19 20:16:00"|"417386"|"8177"
"21002998862"|"290257256"|"2012-07-31 14:37:00"|"595298"|"1287"
"21004070576"|"120940007"|"2012-09-03 14:36:00"|"665228"|"2561"
"21002325944"|"304448996"|"2012-07-11 13:03:00"|"5390669"|"5070"
"21006124232"|"1402703"|"2012-10-19 09:16:00"|"1003034"|"15327"
"21005214170"|"119199803"|"2012-09-30 20:57:00"|"836546"|"2197"
"21005335784"|"293818352"|"2012-10-02 23:19:00"|"855404"|"36777"
"21006619022"|"328222436"|"2012-10-29 17:49:00"|"838352"|"5187"
"21006927140"|"205164749"|"2012-11-05 09:21:00"|"1048772"|"4537"
"21005233982"|"273896780"|"2012-10-01 10:17:00"|"827012"|"6487"
"21005233982"|"273896780"|"2012-10-01 10:17:00"|"827012"|"6487"
"21006087008"|"106565243"|"2012-10-18 13:28:00"|"945998"|"5837"
"21007604582"|"344637032"|"2012-11-17 13:49:00"|"291050"|"3497"
"21005814524"|"155444705"|"2012-10-13 09:14:00"|"842552"|"2730"
"21008523944"|"51858902"|"2012-12-01 16:53:00"|"1006604"|"2587"
"21008900696"|"107146049"|"2012-12-06 22:45:00"|"1298462"|"11427"
"21009251552"|"172090541"|"2012-12-11 16:55:00"|"1329920"|"32370"
"21009251552"|"172090541"|"2012-12-11 16:55:00"|"1329920"|"32370"
"21009251552"|"172090541"|"2012-12-11 16:55:00"|"1329920"|"32370"
"21009251552"|"172090541"|"2012-12-11 16:55:00"|"1329920"|"32370"
"21009251552"|"172090541"|"2012-12-11 16:55:00"|"1329920"|"32370"
"21007939592"|"3868853"|"2012-11-22 21:42:00"|"1110806"|"10387"
"21009332660"|"273896780"|"2012-12-12 14:33:00"|"1352558"|"6487"
"21009448778"|"194437181"|"2012-12-13 20:49:00"|"1136174"|"507"
"21009448778"|"194437181"|"2012-12-13 20:49:00"|"1136174"|"507"
"21009448778"|"194437181"|"2012-12-13 20:49:00"|"1136174"|"507"
"21009448778"|"194437181"|"2012-12-13 20:49:00"|"1136174"|"507"
"21009802520"|"1476508616"|"2012-12-18 19:03:00"|"1313288"|"4537"
"21010127732"|"105176"|"2012-12-27 09:31:00"|"1331348"|"4537"
"21009702578"|"81375335"|"2012-12-17 12:22:00"|"1474820"|"7397"
"21009702578"|"81375335"|"2012-12-17 12:22:00"|"1388342"|"2587"
"21000872093"|"14310938"|"2012-02-27 08:47:00"|"5198246"|"5187"
"21000313715"|"34153790"|"2011-07-31 13:03:00"|"4890554"|"897"
"21000740759"|"38999990"|"2011-12-09 14:38:00"|"5151416"|"2470"
"21003043418"|"6330698"|"2012-08-01 20:54:00"|"598910"|"9737"
"21003228572"|"313331810"|"2012-08-08 06:17:00"|"603488"|"11570"
"21002661044"|"183401867"|"2012-07-22 11:26:00"|"522092"|"2574"
"21004395032"|"322541066"|"2012-09-11 16:35:00"|"359468"|"481"
"21004395032"|"322541066"|"2012-09-11 16:35:00"|"359468"|"481"
"21004395032"|"322541066"|"2012-09-11 16:35:00"|"359468"|"481"
"21003872042"|"240318149"|"2012-08-29 14:01:00"|"665228"|"2561"
"21006485294"|"2751398"|"2012-10-26 13:38:00"|"889508"|"3237"
"21006057074"|"5893802"|"2012-10-17 21:52:00"|"920378"|"1027"
"21006329270"|"329174210"|"2012-10-23 14:30:00"|"999170"|"2457"
"21007862162"|"344622272"|"2012-11-21 19:33:00"|"1174562"|"23270"
"21007862162"|"344622272"|"2012-11-21 19:33:00"|"1174562"|"23270"
"21008595602"|"345494588"|"2012-12-03 01:28:00"|"1309214"|"3887"
"21008595602"|"345494588"|"2012-12-03 01:28:00"|"1309214"|"3887"
"21009672392"|"4462082"|"2012-12-16 23:34:00"|"1387544"|"2587"
"21011708240"|"380857088"|"2013-02-03 19:42:00"|"1652816"|"1677"
"21010937576"|"119373233"|"2013-01-18 14:44:00"|"1644668"|"20397"
"21012075128"|"52135406"|"2013-02-10 20:24:00"|"1652816"|"1677"
"21010165274"|"211220285"|"2012-12-28 17:20:00"|"1335968"|"2587"
"21010165274"|"211220285"|"2012-12-28 17:20:00"|"1335968"|"2587"
"21010265786"|"330993872"|"2013-01-02 09:38:00"|"1488848"|"15587"
